#       time        depth temperature sp_upper sp_lower plate_edge adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity vertical_heat_flux vertical_mass_flux sp_upper_mass sp_lower_mass plate_edge_mass
           0        10000      984.935     0.189248            0    0.0155957         1573            0         3300 -3.91733e-05            0            0            0  3.72351e+21     0.259924            0      643.723            0       53.055
           0        30000      1487.79     0.201469  -0.00746924    0.0155438      1580.84   6.6186e+08      3299.98  3.94342e-05            0            0            0  3.81895e+21   0.00559684            0      675.655     -24.9559      52.1424
           0        50000      1515.11     0.164159    0.0339058     0.015502      1588.73  1.32459e+09      3299.97 -3.96689e-05            0            0            0   3.8991e+21    0.0125976            0      546.691      112.524      51.5753
           0        70000      1562.89    0.0106089     0.187465     0.015502      1596.67  1.98772e+09         3300            0            0            0            0  3.92764e+21    0.0074965            0      35.5526      620.831      51.3449
           0        90000      1592.11   0.00156191      0.17839    0.0140897      1604.65  2.65125e+09      3299.96 -1.11505e-08            0            0            0  2.71693e+21   0.00441628            0      5.24188      589.724      46.5645
           0       110000       1608.5            0    0.0192547  0.000905129      1612.68   3.3152e+09         3300            0            0            0            0  2.21214e+20   0.00301487            0            0      63.7647       2.9901
           0       130000      1620.95            0  -0.00105673 -0.000332496      1620.75  3.97961e+09      3299.96 -1.12901e-08            0            0            0  1.22801e+20   0.00219569            0            0     -3.44085     -1.09752
           0       150000      1630.94            0 -0.000324489            0      1628.87  4.64446e+09         3300            0            0            0            0  1.00002e+20   0.00185817            0            0      -1.0734            0
           0       170000      1639.59            0            0            0      1637.03  5.30978e+09      3299.96 -1.16706e-08            0            0            0        1e+20   0.00170916            0            0            0            0
           0       190000      1647.95            0            0            0      1645.24  5.97563e+09         3300            0            0            0            0        1e+20   0.00168832            0            0            0            0
           0       210000      1655.62            0            0            0       1653.5    6.642e+09      3299.99  4.15035e-05            0            0            0        1e+20   0.00168529            0            0            0            0
           0       230000      1663.92            0            0            0      1661.81  7.30891e+09      3299.99 -4.17636e-05            0            0            0        1e+20   0.00168919            0            0            0            0
           0       250000      1672.26            0            0            0      1670.16  7.97631e+09      3299.99   4.1987e-05            0            0            0        1e+20   0.00169671            0            0            0            0
           0       270000      1680.64            0            0            0      1678.57  8.64418e+09         3300 -4.22473e-05            0            0            0        1e+20   0.00170591            0            0            0            0
           0       290000      1689.06            0            0            0      1687.02  9.31252e+09      3299.98  4.24735e-05            0            0            0        1e+20   0.00171549            0            0            0            0
           0       310000      1696.88            0            0            0      1695.52  9.98134e+09      3299.97 -4.27251e-05            0            0            0        1e+20   0.00172452            0            0            0            0
           0       330000      1705.39            0            0            0      1704.06  1.06506e+10      3299.97  4.29676e-05            0            0            0        1e+20   0.00173447            0            0            0            0
           0       350000      1713.96            0            0            0      1712.66  1.13204e+10      3299.97 -4.32244e-05            0            0            0        1e+20   0.00174447            0            0            0            0
           0       370000      1722.57            0            0            0      1721.31  1.19908e+10         3300            0            0            0            0        1e+20   0.00175456            0            0            0            0
           0       390000      1731.24            0            0            0      1730.01  1.26616e+10      3299.98 -4.37307e-05            0            0            0        1e+20   0.00176469            0            0            0            0
           0       410000      1739.28            0            0            0      1738.76  1.33329e+10         3300            0            0            0            0        1e+20   0.00177386            0            0            0            0
           0       430000      1748.04            0            0            0      1747.56  1.40045e+10      3299.99 -4.42211e-05            0            0            0        1e+20   0.00178346            0            0            0            0
           0       450000      1756.85            0            0            0       1756.4  1.46763e+10         3300            0            0            0            0        1e+20   0.00179315            0            0            0            0
           0       470000       1765.7            0            0            0      1765.29  1.53485e+10         3300  4.46835e-05            0            0            0        1e+20   0.00180288            0            0            0            0
           0       490000       1774.6            0            0            0      1774.24  1.60209e+10      3299.99 -4.49466e-05            0            0            0        1e+20   0.00181267            0            0            0            0
           0       510000      1782.86            0            0            0      1783.23  1.66935e+10         3300            0            0            0            0        1e+20   0.00182171            0            0            0            0
           0       530000      1791.86            0            0            0      1792.26  1.73664e+10         3300            0            0            0            0        1e+20   0.00183149            0            0            0            0
           0       550000       1800.9            0            0            0      1801.35  1.80395e+10         3300            0            0            0            0        1e+20   0.00184134            0            0            0            0
           0       570000      1809.99            0            0            0      1810.49  1.87128e+10         3300            0            0            0            0        1e+20   0.00185124            0            0            0            0
           0       590000      1819.13            0            0            0      1819.68  1.93863e+10         3300            0            0            0            0        1e+20   0.00186119            0            0            0            0
           0       610000      1827.61            0            0            0      1828.91  2.00601e+10      3299.97 -4.64192e-05            0            0            0        1e+20    0.0018704            0            0            0            0
           0       630000      1836.85            0            0            0       1838.2   2.0734e+10         3300            0            0            0            0  1.00029e+20   0.00188039            0            0            0            0
           0       650000      1846.13            0            0            0      1847.53  2.14082e+10      3299.97  4.69096e-05            0            0            0  2.22979e+20   0.00189048            0            0            0            0
           0       670000      1855.47            0            0            0      1856.92  2.20825e+10         3300            0            0            0            0   8.2082e+21   0.00190035            0            0            0            0
           0       690000      1864.85            0            0            0      1866.35  2.27568e+10         3300            0            0            0            0  9.99949e+21   0.00190963            0            0            0            0
           0       710000      1873.54            0            0            0      1875.83  2.34309e+10         3300            0            0            0            0        1e+22   0.00191797            0            0            0            0
           0       730000      1883.01            0            0            0      1885.35  2.41047e+10         3300            0            0            0            0        1e+22   0.00192709            0            0            0            0
           0       750000      1892.52            0            0            0      1894.92  2.47784e+10         3300            0            0            0            0        1e+22   0.00193623            0            0            0            0
           0       770000      1902.08            0            0            0      1904.53  2.54519e+10         3300            0            0            0            0        1e+22   0.00194543            0            0            0            0
           0       790000      1911.68            0            0            0      1914.19  2.61251e+10         3300            0            0            0            0        1e+22   0.00195467            0            0            0            0
           0       810000      1920.59            0            0            0       1923.9  2.67982e+10         3300            0            0            0            0        1e+22   0.00196324            0            0            0            0
           0       830000      1930.28            0            0            0      1933.65  2.74711e+10         3300            0            0            0            0        1e+22   0.00197256            0            0            0            0
           0       850000      1940.01            0            0            0      1943.45  2.81437e+10         3300            0            0            0            0        1e+22   0.00198193            0            0            0            0
           0       870000       1949.8            0            0            0      1953.29  2.88162e+10         3300            0            0            0            0        1e+22   0.00199134            0            0            0            0
           0       890000      1959.63            0            0            0      1963.19  2.94885e+10         3300            0            0            0            0        1e+22   0.00200079            0            0            0            0
           0       910000      1968.74            0            0            0      1973.12  3.01605e+10      3299.97  4.99301e-05            0            0            0        1e+22   0.00200954            0            0            0            0
           0       930000      1978.66            0            0            0      1983.11  3.08324e+10         3300            0            0            0            0        1e+22   0.00201907            0            0            0            0
           0       950000      1988.63            0            0            0      1993.15  3.15041e+10         3300            0            0            0            0        1e+22   0.00202864            0            0            0            0
           0       970000      1999.36            0            0            0      2003.23  3.21755e+10         3300            0            0            0            0        1e+22   0.00223978            0            0            0            0
           0       990000      2004.18            0            0            0      2013.36  3.28468e+10         3300            0            0            0            0        1e+22  -0.00112575            0            0            0            0
