#       time        depth temperature sp_upper sp_lower plate_edge adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity log_viscosity vertical_heat_flux vertical_mass_flux sp_upper_mass sp_lower_mass plate_edge_mass
           0        28900      893.688    0.0550271    0.0937988   0.00841611       1584.6  9.76788e+08      3299.94  7.88998e-06            0            0            0  5.04213e+22      21.9178    0.0750537            0      175.533      303.625       27.828
           0        86700      1560.14   -0.0112706    0.0945584   0.00838511      1608.07  2.93357e+09      3299.94 -8.08114e-06            0            0            0  1.51416e+21      19.7431     0.016265            0     -36.7289      308.134      27.6437
           0       144500      1620.34            0   0.00255968   0.00933284      1629.52  4.69786e+09      3299.96 -1.02661e-05            0            0            0  9.55094e+20      19.6372   0.00239797            0            0      8.50005      30.8028
           0       202300      1648.54            0   0.00242296    0.0064943      1651.31  6.46568e+09      3299.95 -8.36273e-06            0            0            0  1.70956e+21      19.7931   0.00191406            0            0      8.06446      21.4323
           0       260100      1674.69            0   0.00010178  0.000245784      1675.91  8.43409e+09      3299.93 -8.49941e-06            0            0            0  1.05914e+20      19.9785   0.00179164            0            0     0.339656     0.811131
           0       317900      1700.96            0            0            0      1700.93  1.04067e+10      3299.93 -2.10142e-08            0            0            0  1.44361e+20      20.1566   0.00176088            0            0            0            0
           0       375700      1726.39            0            0            0      1726.38  1.23836e+10      3299.94 -8.79648e-06            0            0            0  2.15061e+20      20.3299   0.00175064            0            0            0            0
           0       433500      1749.65            0            0            0      1749.65   1.4179e+10      3373.24   0.00171738            0            0            0  3.02754e+20      20.4796   0.00182439            0            0            0            0
           0       491300      1773.27            0            0            0      1773.27  1.60131e+10      3394.32  -4.9385e-08            0            0            0  4.21103e+20      20.6221   0.00186249            0            0            0            0
           0       549100      1799.91            0            0            0      1799.91  1.80613e+10       3427.2   0.00106035            0            0            0  6.00482e+20      20.7764   0.00191082            0            0            0            0
           0       606900      1826.98            0            0            0      1826.98  2.01352e+10      3452.89  9.05278e-05            0            0            0  8.45433e+20       20.925   0.00195594            0            0            0            0
           0       664700      1854.48            0            0            0      1854.48  2.22418e+10      3615.62   0.00491637            0            0            0  1.19644e+22      21.9476   0.00208021            0            0            0            0
           0       722500      1879.58            0            0            0      1879.58  2.42587e+10      3771.92  1.24325e-06            0            0            0  1.75786e+22      22.2449   0.00219868            0            0            0            0
           0       780300      1905.01            0            0            0      1905.01   2.6303e+10      3771.92 -1.10878e-05            0            0            0  1.90323e+22      22.2794   0.00222642            0            0            0            0
           0       838100      1933.68            0            0            0      1933.64  2.85727e+10      3771.95 -2.24089e-05            0            0            0  2.06594e+22       22.315   0.00227121            0            0            0            0
           0       895900      1962.68            0            0            0      1962.68  3.08404e+10      3771.95  9.19112e-08            0            0            0  2.21108e+22      22.3445   0.00224514            0            0            0            0
           0       953700      1991.19            0            0            0      1992.12  3.31061e+10      3771.92  1.16523e-07            0            0            0  2.37454e+22      22.3755   0.00229969            0            0            0            0
           0   1.0115e+06      2018.77            0            0            0      2018.97  3.51436e+10      3771.93  2.91302e-05            0            0            0  2.50232e+22      22.3983   0.00243004            0            0            0            0
           0   1.0693e+06      2046.29            0            0            0      2046.18  3.71798e+10      3771.92 -8.02169e-08            0            0            0  2.64346e+22      22.4221   0.00237302            0            0            0            0
           0   1.1271e+06      2076.82            0            0            0      2076.82  3.94408e+10      3771.91 -1.30226e-07            0            0            0  2.78796e+22      22.4452   0.00241603            0            0            0            0
           0   1.1849e+06      2107.89            0            0            0      2107.89  4.17003e+10      3771.92 -1.22426e-05            0            0            0  2.90896e+22      22.4637   0.00245054            0            0            0            0
           0   1.2427e+06      2139.41            0            0            0      2139.41  4.39585e+10      3771.89  2.46666e-05            0            0            0  3.01591e+22      22.4794   0.00248617            0            0            0            0
           0   1.3005e+06      2168.16            0            0            0      2168.16  4.59902e+10      3771.86 -3.12521e-05            0            0            0  3.09945e+22      22.4913   0.00251855            0            0            0            0
           0   1.3583e+06       2197.3            0            0            0       2197.3   4.8021e+10       3771.9  1.26309e-05            0            0            0  3.16943e+22       22.501    0.0025515            0            0            0            0
           0   1.4161e+06      2230.12            0            0            0      2230.12  5.02768e+10      3771.86  1.28459e-05            0            0            0  3.23128e+22      22.5094   0.00258913            0            0            0            0
           0   1.4739e+06      2263.43            0            0            0      2263.43  5.25324e+10      3771.92  2.60782e-05            0            0            0  3.27585e+22      22.5153   0.00262768            0            0            0            0
           0   1.5317e+06      2297.24            0            0            0      2297.23  5.47879e+10      3771.99 -1.31504e-05            0            0            0  3.30278e+22      22.5189    0.0026668            0            0            0            0
