,cases,names,includes,steps,times,wallclocks,t660s,sz_thicks,sz_depths,sz_viscs,slab_strs,sd_modes,V_sink_avgs,V_plate_avgs,V_ov_plate_avgs,V_trench_avgs,sp_ages,ov_ages,ab_paths
0,EBA_CDPT_test_perplex_mixing_log,Psa80oa40,1,4040.0,60.0,134.44444444444446,2367630.7692307695,7500.0,-1.0,1e+20,500.0,1,0.041807382185949545,0.09315041270702368,-0.030266698426779842,-0.02763062133094569,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT17/EBA_CDPT_test_perplex_mixing_log
1,EBA_CDPT_test_perplex_mixing_iso_strain,Psa80oa40strain,1,3909.0,60.0,257.22222222222223,-1.0,7500.0,-1.0,1e+20,500.0,1,-1.0,-1.0,-1.0,-1.0,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT17/EBA_CDPT_test_perplex_mixing_iso_strain
2,EBA_CDPT_test_perplex_mixing_log_1e25,Psa80oa40mv15,1,2090.0,29.0475,163.05555555555554,2343977.836879432,7500.0,-1.0,1e+20,500.0,1,0.042591726181113884,0.08048881134017286,-0.023808233775351854,-0.022457611209905293,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT17/EBA_CDPT_test_perplex_mixing_log_1e25
3,EBA_CDPT_test_perplex_mixing_iso_stress,Psa80oa40stress,1,4230.0,59.4885,300.0,2747155.141843972,7500.0,-1.0,1e+20,500.0,1,0.04445926645646794,0.0902685433852426,-0.03971227130697471,-0.03594349535032178,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT17/EBA_CDPT_test_perplex_mixing_iso_stress
4,eba_cdpt_coh500_SA20.0_OA20.0_cd100.0_cd7.5_mix3_gr9,Psa20oa20,1,2652.0,60.0,0.28888888888888886,7743882.269503546,7500.0,-1.0,1e+20,500.0,1,0.004867584363632839,-0.005379122070274573,-0.00981246953603376,-0.007716687602369217,20.0,20.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA20.0_OA20.0_cd100.0_cd7.5_mix3_gr9
5,eba_cdpt_coh500_SA40.0_OA20.0_cd100.0_cd7.5_mix3_gr9,Psa40oa20,1,5649.0,60.0,36.94444444444444,2942934.042553191,7500.0,-1.0,1e+20,500.0,1,0.025928205966111402,0.057509480061745284,-0.04091151477445471,-0.038603437374191925,40.0,20.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA40.0_OA20.0_cd100.0_cd7.5_mix3_gr9
6,eba_cdpt_coh500_SA40.0_OA40.0_cd100.0_cd7.5_mix3_gr9,Psa40oa40,1,5196.0,60.0,271.6666666666667,2968608.7688219664,7500.0,-1.0,1e+20,500.0,1,0.0271305538290789,0.054725427936733614,-0.03786691187895098,-0.03546552674874525,40.0,40.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA40.0_OA40.0_cd100.0_cd7.5_mix3_gr9
7,eba_cdpt_coh500_SA80.0_OA20.0_cd100.0_cd7.5_mix3_gr9,Psa80oa20,1,3927.0,60.0,3.0,2278717.307692308,7500.0,-1.0,1e+20,500.0,1,0.04274135805024985,0.09300271070490859,-0.029175214983979358,-0.026759216208261622,80.0,20.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA80.0_OA20.0_cd100.0_cd7.5_mix3_gr9
8,eba_cdpt_coh500_SA80.0_OA80.0_cd100.0_cd7.5_mix3_gr9,Psa80oa80,1,2580.0,46.9339,2.8055555555555554,2664467.3162090345,7500.0,-1.0,1e+20,500.0,1,0.040814912361067324,0.059420537985840745,-0.031810234400776786,-0.029541371083866078,80.0,80.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA80.0_OA80.0_cd100.0_cd7.5_mix3_gr9
9,eba_cdpt_coh500_SA120.0_OA40.0_cd100.0_cd7.5_mix3_gr9,Psa120oa40,1,4239.0,60.0,78.05555555555556,2162203.846153846,7500.0,-1.0,1e+20,500.0,1,0.0477417353436279,0.04324609752672323,-0.03254563316929932,-0.030495640906885998,120.00000000000001,40.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA120.0_OA40.0_cd100.0_cd7.5_mix3_gr9
10,eba_cdpt_coh500_SA140.0_OA40.0_cd100.0_cd7.5_mix3_gr9,Psa140oa40,1,3900.0,49.4401,141.94444444444446,2176051.923076923,7500.0,-1.0,1e+20,500.0,1,0.05152784262834355,0.05978207476689907,-0.029122547074161592,-0.02723750472574356,140.0,40.0,/mnt/lochy/ASPECT_DATA/TwoDSubduction/EBA_CDPT21/eba_cdpt_coh500_SA140.0_OA40.0_cd100.0_cd7.5_mix3_gr9
11,eba_cdpt_coh500_SA80.0_OA40.0_cd50.0_cd7.5_gr9,F50sa80oa40,1,1068.0,60.0,31.944444444444443,18348774.82269503,7500.0,50000.0,1e+20,500.0,1,-1.0,-1.0,-1.0,-1.0,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT18/eba_cdpt_coh500_SA80.0_OA40.0_cd50.0_cd7.5_gr9
12,eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr9,F100sa80oa40,1,3337.0,60.0,36.388888888888886,2446899.8226950355,7500.0,100000.0,1e+20,500.0,1,0.03464383756693138,0.02066803288713803,-0.04435813290982592,-0.04267353057160617,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT18/eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr9
13,eba_cdpt_coh500_SA80.0_OA40.0_cd200.0_cd7.5_gr9,F200sa80oa40,1,3330.0,60.0,32.5,-1.0,7500.0,200000.0,1e+20,500.0,1,-1.0,-1.0,-1.0,-1.0,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT18/eba_cdpt_coh500_SA80.0_OA40.0_cd200.0_cd7.5_gr9
14,eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr9_cl2.5,F100sa80oa40Clpv2.5,1,2630.0,40.7793,156.11111111111111,2455970.5673758863,7500.0,100000.0,1e+20,500.0,1,0.026055976856646457,0.03775267880580069,-0.027254196774526496,-0.024941600897840897,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT18/eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr9_cl2.5
15,eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr10,F100sa80oa40hr1,1,5030.0,47.2572,195.27777777777777,2627356.7375886524,7500.0,100000.0,1e+20,500.0,1,0.037945792180617284,0.018059613507432553,-0.05197344883271474,-0.052356032030815805,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT18/eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr10
16,eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr11,F100sa80oa40hr2,1,4060.0,23.0389,189.16666666666666,-1.0,7500.0,100000.0,1e+20,500.0,1,-1.0,-1.0,-1.0,-1.0,80.0,40.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT18/eba_cdpt_coh500_SA80.0_OA40.0_cd100.0_cd7.5_gr11
17,eba_cdpt_coh500_SA80.0_OA80.0_cd100.0_cd7.5_gr9,F100sa80oa80,1,3090.0,59.4178,35.55555555555556,2756961.34751773,7500.0,100000.0,1e+20,500.0,1,0.036141441794777955,0.024550342108404965,-0.048061347343141575,-0.04721236441922834,80.0,80.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT20/eba_cdpt_coh500_SA80.0_OA80.0_cd100.0_cd7.5_gr9
18,eba_cdpt_coh500_SA40.0_OA20.0_cd80.0_cd7.5_gr9,F80sa40oa20,1,4946.0,60.0,157.77777777777777,2758119.503546099,7500.0,80000.0,1e+20,500.0,1,0.022548877929342598,0.06844743595710939,-0.034970566436689436,-0.032915057742025314,40.0,20.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT20/eba_cdpt_coh500_SA40.0_OA20.0_cd80.0_cd7.5_gr9
19,eba_cdpt_coh500_SA40.0_OA20.0_cd100.0_cd7.5_gr9,F100sa40oa20,1,5198.0,60.0,169.72222222222223,2677028.8751107175,7500.0,100000.0,1e+20,500.0,1,0.021762113776870675,0.0658910899015594,-0.035617723250338074,-0.03374646116232598,40.0,20.0,/mnt/lochz/ASPECT_DATA/TwoDSubduction/EBA_CDPT20/eba_cdpt_coh500_SA40.0_OA20.0_cd100.0_cd7.5_gr9
