#       time        depth temperature C_0 C_1 C_2 C_3 adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity viscosity vertical_heat_flux vertical_mass_flux
           0        28900       723.88            0            0            0            0         1673            0      3156.78 -4.16637e-05            0            0  9.56834e+22    0.0608229            0
           0        86700       1387.3            0            0            0            0      1697.24  1.83089e+09       3154.3 -4.23964e-05            0            0  3.40113e+20    0.0296483            0
           0       144500       1670.6            0            0            0            0      1721.88  3.66407e+09      3151.78 -4.30789e-05            0            0  1.96237e+19    0.0104515            0
           0       202300      1750.17            0            0            0            0      1746.93  5.49941e+09      3149.22 -4.38197e-05            0            0  1.28926e+19   0.00274741            0
           0       260100       1783.8            0            0            0            0       1772.4  7.33735e+09      3146.61 -4.45439e-05            0            0  1.49464e+19   0.00177463            0
           0       317900      1807.68            0            0            0            0      1798.29  9.17765e+09      3143.96 -4.52731e-05            0            0  1.79986e+19   0.00175812            0
           0       375700      1834.07            0            0            0            0      1824.62  1.10202e+10      3141.27 -4.60572e-05            0            0  2.17896e+19   0.00177657            0
           0       433500      1860.86            0            0            0            0      1851.39  1.28652e+10      3138.53 -4.68107e-05            0            0  2.61343e+19   0.00182871            0
           0       491300      1888.09            0            0            0            0       1878.6  1.47424e+10      3225.45 -4.89085e-05            0            0  3.12367e+19   0.00188401            0
           0       549100      1915.74            0            0            0            0      1906.23  1.66416e+10      3222.54 -4.96916e-05            0            0  3.70797e+19   0.00192399            0
           0       606900      1941.65            0            0            0            0       1934.3  1.85567e+10      3266.13  0.000256226            0            0   4.3201e+19   0.00196917            0
           0       664700      1970.14            0            0            0            0      1962.81   2.0489e+10      3321.91    0.0146125            0            0  7.22437e+19   0.00208407            0
           0       722500      1999.05            0            0            0            0      1991.76  2.25399e+10      3571.01  -5.3008e-05            0            0  9.67188e+19   0.00221314            0
           0       780300      2028.36            0            0            0            0      2021.11   2.4646e+10      3567.59 -5.86066e-05            0            0  1.17299e+20   0.00224143            0
           0       838100      2058.08            0            0            0            0      2050.86  2.67483e+10      3564.11  -5.9403e-05            0            0  1.40776e+20   0.00227013            0
