#       time        depth temperature spcrust spharz opcrust opharz adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity vertical_heat_flux vertical_mass_flux spcrust_mass spharz_mass opcrust_mass opharz_mass
           0        28900      901.568    0.0862001       0.2875    0.0467527     0.191911         1573            0         3000 -3.56121e-05    0.0714579  0.000456261   0.00045439  5.06323e+23      0.11097  9.52585e-08      268.703      951.486      146.449      636.291
           0        86700      1488.37    0.0018785   0.00788938            0            0      1595.79  1.87057e+09      3299.88 -3.14867e-08     0.057734   0.00232639   0.00230304  8.28423e+21     0.151274  4.86348e-07      6.16149      26.2454            0            0
           0       144500      1605.66   0.00152284   0.00580659            0            0      1618.96  3.78913e+09      3299.97  4.04714e-05    0.0249657    0.0050206   0.00491883   1.0778e+22     0.224513  1.04488e-06      5.30552      19.3208            0            0
           0       202300      1640.56  0.000451068    0.0024901            0            0      1642.51  5.71147e+09         3300            0    0.0240877   0.00644636   0.00650136  9.18951e+21     0.270946  1.36015e-06      1.60077      8.28658            0            0
           0       260100      1670.95            0            0            0            0      1666.45  7.63813e+09      3299.93 -4.18814e-05    0.0256267   0.00682994   0.00690782  6.54099e+20     0.146955  1.43991e-06            0            0            0            0
           0       317900      1700.01            0            0            0            0       1690.8  9.56887e+09      3299.88  -4.2567e-05    0.0241576   0.00560556   0.00560595  1.61733e+20    0.0155179  1.17277e-06            0            0            0            0
           0       375700      1725.39            0            0            0            0      1715.56  1.15036e+10      3299.87 -3.55052e-08    0.0189532   0.00350672   0.00350933  2.20987e+20   0.00237762  7.33689e-07            0            0            0            0
           0       433500      1749.63            0            0            0            0      1740.73  1.34426e+10      3306.53   0.00184299    0.0122691   0.00208277   0.00208507  3.56577e+20   0.00242069  4.44665e-07            0            0            0            0
           0       491300      1774.24            0            0            0            0      1766.31  1.54318e+10      3394.39 -4.60102e-05   0.00748088   0.00138565   0.00138225   6.1026e+20   0.00105155  2.97728e-07            0            0            0            0
           0       549100      1800.22            0            0            0            0      1792.29  1.74314e+10      3399.82   0.00168398   0.00470069   0.00109413   0.00109518  1.10506e+21    0.0021678  2.37834e-07            0            0            0            0
           0       606900      1826.36            0            0            0            0      1818.69  1.94585e+10      3452.92  3.61841e-05   0.00336704   0.00103375   0.00103317  2.08656e+21   0.00181138  2.26159e-07            0            0            0            0
           0       664700      1853.16            0            0            0            0      1845.49  2.14972e+10      3472.76   0.00393672   0.00297517   0.00101109   0.00101117  1.24248e+22   0.00209259  2.30614e-07            0            0            0            0
           0       722500      1879.56            0            0            0            0      1872.71   2.3658e+10      3771.94  5.64105e-05    0.0029186  0.000992319  0.000991559  1.75892e+22   0.00198441  2.37132e-07            0            0            0            0
           0       780300      1907.12            0            0            0            0       1900.3  2.58836e+10      3771.99 -5.51035e-05   0.00286984  0.000971885  0.000972296  1.92067e+22   0.00234609  2.32388e-07            0            0            0            0
           0       838100      1935.06            0            0            0            0      1928.28  2.81073e+10      3771.93 -5.58523e-05    0.0028228  0.000952265  0.000952342   2.0822e+22   0.00228138  2.27657e-07            0            0            0            0
           0       895900      1961.19            0            0            0            0      1956.64   3.0329e+10      3771.87 -5.66106e-05    0.0027811  0.000934099  0.000933815  2.22904e+22   0.00220503  2.23272e-07            0            0            0            0
           0       953700      1989.87            0            0            0            0       1985.4  3.25489e+10      3771.87  5.73784e-05   0.00273827  0.000914167  0.000914098  2.38351e+22   0.00229946  2.18532e-07            0            0            0            0
           0   1.0115e+06      2018.95            0            0            0            0      2014.55  3.47669e+10      3771.93  5.81607e-05   0.00269605  0.000893882  0.000894092  2.53189e+22   0.00241469  2.13716e-07            0            0            0            0
           0   1.0693e+06      2048.44            0            0            0            0      2044.12  3.69834e+10         3772  5.89585e-05    0.0026557  0.000874091  0.000873752  2.67146e+22   0.00228058  2.08919e-07            0            0            0            0
           0   1.1271e+06      2078.33            0            0            0            0      2074.09  3.91983e+10      3771.83 -4.07069e-08   0.00261647  0.000853755  0.000853601  2.80105e+22   0.00236997   2.0408e-07            0            0            0            0
           0   1.1849e+06       2106.3            0            0            0            0      2104.49  4.14118e+10      3771.87 -6.06694e-05   0.00258045  0.000834385  0.000834837  2.91015e+22   0.00259072  1.99522e-07            0            0            0            0
           0   1.2427e+06         2137            0            0            0            0      2135.31  4.36241e+10      3771.82 -4.26263e-08   0.00254289  0.000814245  0.000813859  3.01526e+22   0.00236004  1.94607e-07            0            0            0            0
           0   1.3005e+06      2168.14            0            0            0            0      2166.57  4.58355e+10      3771.82 -4.32022e-08    0.0025057  0.000793252  0.000792985  3.10633e+22   0.00243205  1.89603e-07            0            0            0            0
           0   1.3583e+06      2199.71            0            0            0            0      2198.28  4.80459e+10      3771.82 -4.37856e-08   0.00246878  0.000771568  0.000771997  3.18164e+22   0.00269504  1.84502e-07            0            0            0            0
           0   1.4161e+06      2231.75            0            0            0            0      2230.44  5.02556e+10      3771.81 -4.55513e-08   0.00243265  0.000750527  0.000750175   3.2412e+22   0.00247375  1.79379e-07            0            0            0            0
           0   1.4739e+06      2261.72            0            0            0            0      2263.07  5.24652e+10      3771.87 -6.51485e-05   0.00239936  0.000730269  0.000730001  3.28128e+22   0.00253546  1.74546e-07            0            0            0            0
           0   1.5317e+06      2294.65            0            0            0            0      2296.17  5.46747e+10      3771.82  6.60793e-05   0.00236354   0.00070772  0.000707971   3.3084e+22   0.00275002  1.69217e-07            0            0            0            0
           0   1.5895e+06      2328.06            0            0            0            0      2329.76  5.68841e+10       3771.9  6.70339e-05   0.00232802  0.000685354  0.000685149   3.3193e+22   0.00263167  1.63816e-07            0            0            0            0
           0   1.6473e+06      2361.96            0            0            0            0      2363.85  5.90943e+10         3772            0   0.00229254  0.000662168  0.000662111  3.31339e+22   0.00272331  1.58291e-07            0            0            0            0
           0   1.7051e+06      2396.37            0            0            0            0      2398.46  6.13055e+10      3771.95 -6.91383e-05   0.00225722  0.000638645  0.000638551  3.29203e+22   0.00275104  1.52663e-07            0            0            0            0
